STOPNAME,TRAPEZESTO,RUCUSSTOPA,STOPID,LATITUDE,LONGITUDE,ACCESSIBIL,ATSTREET,ONSTREET,POSITION,ORIENTATIO,SERVICEPLA,SHELTER,INSERT_TIM,SIGNUPID,SUPERVISOR
Potrero Ave&21st St SW-FS/BZ,POTR21S0,POTR21ST,6034.0000000000,37.7574900000,-122.4069000000,0.0000000000,21ST ST,POTRERO AVE,FS,SW,BZ,0.0000000000,2012/02/23,76.0000000000,
Potrero Ave&20th St SW-FS/BZ,POTR20S0,POTR20ST,6033.0000000000,37.7590800000,-122.4070500000,0.0000000000,20TH ST,POTRERO AVE,FS,SW,BZ,0.0000000000,2012/02/23,76.0000000000,
Sunnydale Ave&Talbert St W-NS/PS,SUNYTAL1,SUNYTALB,6584.0000000000,37.7093500000,-122.4070000000,0.0000000000,TALBERT ST,SUNNYDALE AVE,NS,W,,0.0000000000,2012/02/23,76.0000000000,
Schwerin St&Velasco Ave N-NS/PS,SHWNVEL0,SHWNVELA,6389.0000000000,37.7081300000,-122.4125400000,0.0000000000,VELASCO AVE,SCHWERIN ST,NS,N,,0.0000000000,2012/02/23,76.0000000000,
Market St&Battery St N-NS/SI,MRKTBAT0,MRKTBATT,5657.0000000000,37.7911100000,-122.3990690000,0.0000000000,BATTERY ST,MARKET ST,NS,N,SI,0.0000000000,2012/02/23,76.0000000000,
Geneva Ave&Rio Verde St NE-NS/SB,GNVARVD1,,7127.0000000000,37.7071360000,-122.4157060000,0.0000000000,RIO VERDE ST,GENEVA AVE,NS,NE,,0.0000000000,2012/02/23,76.0000000000,
11th St&Howard St S-FS/BZ,11STHWR0,11STHWRD,3241.0000000000,37.7728300000,-122.4153800000,0.0000000000,HOWARD ST,11TH ST,FS,S,BZ,0.0000000000,2012/02/23,76.0000000000,
Schwerin St&Velasco Ave E-FS/SB,SHWNVEL1,SHWNVELA,6388.0000000000,37.7082600000,-122.4123400000,0.0000000000,VELASCO AVE,SCHWERIN ST,FS,E,,0.0000000000,2012/02/23,76.0000000000,
Schwerin St&Sunnydale Ave S-NS/PS,SHWNSUN1,SHWNSUNY,6386.0000000000,37.7104900000,-122.4113600000,0.0000000000,SUNNYDALE AVE,SCHWERIN ST,NS,S,,0.0000000000,2012/02/23,76.0000000000,
Market St&7th St North N-NS/SI,MRKT7ST0,MRKT7STN,5656.0000000000,37.7805680000,-122.4124410000,0.0000000000,7TH ST NORTH,MARKET ST,NS,N,SI,0.0000000000,2012/02/23,76.0000000000,
228 Bayshore Blvd W-FS/BZ,BSHR 220,BSHR 228,3768.0000000000,37.7447200000,-122.4044300000,0.0000000000,,BAY SHORE BLVD,FS,SW,BZ,0.0000000000,2012/02/23,76.0000000000,
Potrero Ave&20th St NE-FS/BZ,POTR20S1,POTR20ST,6032.0000000000,37.7596200000,-122.4068400000,0.0000000000,20TH ST,POTRERO AVE,FS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Potrero Ave&18th St SW-FS/BZ,POTR18S0,POTR18ST,6031.0000000000,37.7616400000,-122.4072900000,0.0000000000,18TH ST,POTRERO AVE,FS,SW,BZ,1.0000000000,2012/02/23,76.0000000000,
Potrero Ave&18th St SE-NS/BZ,POTR18S1,POTR18ST,6030.0000000000,37.7618500000,-122.4070500000,0.0000000000,18TH ST,POTRERO AVE,NS,SE,BZ,0.0000000000,2012/02/23,76.0000000000,
Market St&3rd St S-NS/SI,MRKT.3S0,MRKT.3ST,5640.0000000000,37.7875250000,-122.4035190000,0.0000000000,3RD ST,MARKET ST,NS,S,SI,1.0000000000,2012/02/23,76.0000000000,
Market St&6th St S-NS/SI,MRKT.6S1,MRKT.6ST,5647.0000000000,37.7821020000,-122.4104000000,0.0000000000,6TH ST,MARKET ST,NS,S,SI,0.0000000000,2012/02/23,76.0000000000,
Market St&4th St S-NS/SI,MRKT 4S1,MRKT 4ST,5643.0000000000,37.7856520000,-122.4058930000,4.0000000000,4TH ST,MARKET ST,NS,S,SI,0.0000000000,2012/02/23,76.0000000000,
Potrero Ave&Alameda St NW-NS/BZ,POTRALA0,POTRALAM,6043.0000000000,37.7684400000,-122.4079200000,0.0000000000,ALAMEDA ST,POTRERO AVE,NS,NW,,0.0000000000,2012/02/23,76.0000000000,
Potrero Ave&25th St SW-FS/BZ,POTR25S0,POTR25ST,6041.0000000000,37.7512640000,-122.4063370000,0.0000000000,25TH ST,POTRERO AVE,FS,SW,BZ,0.0000000000,2012/02/23,76.0000000000,
Potrero Ave&25th St SE-NS/BZ,POTR25S1,POTR25ST,6040.0000000000,37.7516400000,-122.4060800000,0.0000000000,25TH ST,POTRERO AVE,NS,SE,BZ,0.0000000000,2012/02/23,76.0000000000,
Market St&New Montgomery St NS/SI,MRKTNMG1,MRKTNMGY,5685.0000000000,37.7886130000,-122.4021630000,4.0000000000,NEW MONTGOMERY ST,MARKET ST,NS,S,SI,0.0000000000,2012/02/23,76.0000000000,
Market St&Larkin St N-NS/SI,MRKTLAR0,MRKTLARK,5680.0000000000,37.7775980000,-122.4162360000,0.0000000000,LARKIN ST,MARKET ST,NS,E,SI,0.0000000000,2012/02/23,76.0000000000,
Gonzalez & Crespi SE-NS/SB,GNLZCRS1,,7607.0000000000,37.7196820000,-122.4755650000,0.0000000000,CARDENAS AVE,GONZALEZ DR,,,,0.0000000000,2012/02/23,76.0000000000,
West Portal Ave&Vicente St S-NS/SB,W P VCT1,W P VCTE,6905.0000000000,37.7396170000,-122.4669800000,0.0000000000,14TH AVE,WEST PORTAL AVE,NS,S,,0.0000000000,2012/02/23,76.0000000000,
Eucalyptus Dr&19th Ave NE-NS/PS,EUCA19A0,EUCA19AV,4544.0000000000,37.7311570000,-122.4747440000,0.0000000000,19TH AVE,EUCALYPTUS DR,NS,NE,,0.0000000000,2012/02/23,76.0000000000,
175 Buckingham Way NE-NS/BZ,BUCKH170,BUCKH175,3799.0000000000,37.7259500000,-122.4788100000,0.0000000000,,BUCKINGHAM WAY,NS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Crespi Dr&Varela Ave NE-NS/SB,CRSPVRE0,CRSPVREL,4207.0000000000,37.7201000000,-122.4759400000,0.0000000000,VARELA AVE,CRESPI DR,NS,N,,0.0000000000,2012/02/23,76.0000000000,
Winston Dr&Buckingham Way S-FS/BZ,WINSBUC0,WINSBUCK,6953.0000000000,37.7279970000,-122.4786720000,0.0000000000,BUCKINGHAM WAY,WINSTON DR,FS,S,BZ,1.0000000000,2012/02/23,76.0000000000,
Winston Dr&20th Ave NE-NS/BZ,WINS20A0,WINS20AV,6950.0000000000,37.7270170000,-122.4759220000,0.0000000000,20TH AVE,WINSTON DR,NS,NE,,0.0000000000,2012/02/23,76.0000000000,
West Portal Ave&15th Ave S-NS/SB,W P 15A0,W P 15AV,6899.0000000000,37.7364850000,-122.4705190000,0.0000000000,15TH AVE,WEST PORTAL AVE,NS,S,,0.0000000000,2012/02/23,76.0000000000,
West Portal Ave&14th Ave S-NS/SB,W P 14AS,W P 14AV,6896.0000000000,37.7378680000,-122.4690530000,0.0000000000,14TH AVE,WEST PORTAL AVE,NS,S,,0.0000000000,2012/02/23,76.0000000000,
Cambon Dr&Castelo Ave SW-FS/SB,CMBNCST0,CMBNCSTL,4084.0000000000,37.7172640000,-122.4744300000,0.0000000000,CASTELO AVE,CAMBON DR,FS,SW,,0.0000000000,2012/02/23,76.0000000000,
Winston Dr&20th Ave SE-FS/BZ,WINS20A1,WINS20AV,6951.0000000000,37.7268830000,-122.4757390000,0.0000000000,20TH AVE,WINSTON DR,FS,SE,BZ,0.0000000000,2012/02/23,76.0000000000,
Junipero Serra Blvd&Ocean Ave NW-NS,J.S.OCE0,J.S.OCEN,5139.0000000000,37.7312380000,-122.4718580000,0.0000000000,OCEAN AVE,JUNIPERO SERRA BLVD,NS,NW,BZ,1.0000000000,2012/02/23,76.0000000000,
Gonzalez Dr&Cardenas Ave NW-NS/SB,GNLZCAR0,GNLZCARD,4789.0000000000,37.7191020000,-122.4756330000,0.0000000000,CARDENAS AVE,GONZALEZ DR,NS,NW,,0.0000000000,2012/02/23,76.0000000000,
West Portal Ave&Vicente St N-NS/PS,W P VCT0,W P VCTE,6904.0000000000,37.7398400000,-122.4669800000,0.0000000000,VICENTE ST,WEST PORTAL AVE,NS,N,,0.0000000000,2012/02/23,76.0000000000,
West Portal Ave&14th Ave N-NS/SB,W P 14AN,,7306.0000000000,37.7380910000,-122.4690420000,0.0000000000,14TH AVE,WEST PORTAL AVE,,,,0.0000000000,2012/02/23,76.0000000000,
West Portal Station N-FS/SB,W.P..ST0,W.P..STA,6739.0000000000,37.7409560000,-122.4658000000,0.0000000000,LENOX WAY,ULLOA ST,FS,N,,0.0000000000,2012/02/23,76.0000000000,
19th Ave&Holloway Ave NE-FS/BZ,19AVHLNE,19AVHOLL,390.0000000000,37.7211900000,-122.4750960000,0.0000000000,HOLLOWAY AVE,19TH AVE,FS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Font Blvd&Juan Bautista Cir E-NS/SB,FONTJBA0,FONTJBAU,4709.0000000000,37.7177010000,-122.4770760000,0.0000000000,JUAN BAUTISTA CIR,FONT BLVD,NS,E,,0.0000000000,2012/02/23,76.0000000000,
Garces Dr&Gonzalez Dr SW-NS/SB,GRCSGNL0,GRCSGNLZ,4917.0000000000,37.7158450000,-122.4783230000,0.0000000000,GONZALEZ DR,GARCES DR,NS,SW,,0.0000000000,2012/02/23,76.0000000000,
West Portal Ave&Sloat Blvd NE-FS/PS,W P SLOA,,7205.0000000000,37.7349140000,-122.4714000000,0.0000000000,SLOAT BLVD,WEST PORTAL AVE,,NE,,0.0000000000,2012/02/23,76.0000000000,
20th Ave&Macy's-Stonestown E-MB/BZ,20AVMAC0,20AVMACY,3406.0000000000,37.7288700000,-122.4756800000,0.0000000000,MACY'S,20TH AVE,MB,E,BZ,0.0000000000,2012/02/23,76.0000000000,
Font Blvd&Serrano Dr E-NS/SB,FONTSER0,FONTSERR,4710.0000000000,37.7196010000,-122.4796070000,0.0000000000,SERRANO DR,FONT BLVD,NS,E,,0.0000000000,2012/02/23,76.0000000000,
Juan Bautista Cir&Font Blvd NE-NS,JBAUFON0,JBAUFONT,5170.0000000000,37.7186910000,-122.4784270000,0.0000000000,FONT BLVD,JUAN BAUTISTA CIR,NS,NE,,0.0000000000,2012/02/23,76.0000000000,
Junipero Serra&Sloat Blvd SW-FS/BZ,J.S.SLO0,J.S.SLOA,5141.0000000000,37.7343070000,-122.4716750000,0.0000000000,SLOAT BLVD,JUNIPERO SERRA BLVD,FS,SW,BZ,1.0000000000,2012/02/23,76.0000000000,
Ocean Ave&Junipero Serra Blvd SE-FS,J S OCE0,J S OCEN,5138.0000000000,37.7313630000,-122.4716740000,0.0000000000,OCEAN AVE,JUNIPERO SERRA BLVD,FS,NE,BZ,1.0000000000,2012/02/23,76.0000000000,
Gonzalez Dr&Josepha Ave SE-FS/SB,GNLZJOS0,GNLZJOSP,4791.0000000000,37.7159790000,-122.4771670000,0.0000000000,JOSEPHA AVE,GONZALEZ DR,FS,SE,,0.0000000000,2012/02/23,76.0000000000,
Gonzalez Dr&Font Blvd S-NS/SB,GNLZFON0,GNLZFONT,4790.0000000000,37.7166930000,-122.4759070000,0.0000000000,FONT BLVD,GONZALEZ DR,NS,S,,1.0000000000,2012/02/23,76.0000000000,
20th Ave&Macy's-Stonestown SW-FS/BZ,20AVMACY,,7211.0000000000,37.7287830000,-122.4757860000,0.0000000000,SLOAT BLVD,20TH AVE,,SW,,0.0000000000,2012/02/23,76.0000000000,
Font Blvd&Tapia Dr E-NS/SB,FONTTAP0,FONTTAPI,4712.0000000000,37.7206800000,-122.4809020000,0.0000000000,TAPIA DR,FONT BLVD,NS,E,,0.0000000000,2012/02/23,76.0000000000,
Font Blvd&Gonzalez Dr E-NS/SB,FONTGNL0,FONTGNLZ,4707.0000000000,37.7167820000,-122.4757580000,0.0000000000,GONZALEZ DR,FONT BLVD,NS,E,,0.0000000000,2012/02/23,76.0000000000,
Font Blvd&Cambon Dr W-NS/SB,FONTCMB1,FONTCMBN,4706.0000000000,37.7158990000,-122.4745780000,0.0000000000,CAMBON DR,FONT BLVD,NS,W,,0.0000000000,2012/02/23,76.0000000000,
Font Blvd&Cambon Dr E-NS/SB,FONTCMB0,FONTCMBN,4705.0000000000,37.7158990000,-122.4742920000,0.0000000000,CAMBON DR,FONT BLVD,NS,E,,0.0000000000,2012/02/23,76.0000000000,
Font Blvd&Chumasero Dr N-FS/SB,FONTCHU0,FONTCHUM,4704.0000000000,37.7152130000,-122.4731690000,0.0000000000,CHUMASERO DR,FONT BLVD,FS,S,,0.0000000000,2012/02/23,76.0000000000,
Font Blvd&Arballo Dr E-NS/SB,FONTARB0,FONTARBO,4702.0000000000,37.7217600000,-122.4821510000,0.0000000000,ARBALLO DR,FONT BLVD,NS,E,,0.0000000000,2012/02/23,76.0000000000,
Eucalyptus Dr&Junipero Serra SW-NS,EUCAJ.S0,EUCAJ.S.,4546.0000000000,37.7309880000,-122.4724420000,0.0000000000,JUNIPERO SERRA BLVD,EUCALYPTUS DR,NS,SW,,0.0000000000,2012/02/23,76.0000000000,
Eucalyptus Dr&19th Ave SE-FS/BZ,EUCA19A1,EUCA19AV,4545.0000000000,37.7310410000,-122.4745380000,0.0000000000,19TH AVE,EUCALYPTUS DR,FS,SE,BZ,0.0000000000,2012/02/23,76.0000000000,
Garces Dr&Grijalva Dr SE-FS/SB,GRCSGRI0,GRCSGRIJ,4918.0000000000,37.7150060000,-122.4800980000,0.0000000000,GRIJALVA DR,GARCES DR,FS,SE,,0.0000000000,2012/02/23,76.0000000000,
Garces Dr&Bucareli Dr W-NS/SB,GRCSBCR0,GRCSBCRL,4916.0000000000,37.7159780000,-122.4814730000,0.0000000000,BUCARELI DR,GARCES DR,NS,W,,0.0000000000,2012/02/23,76.0000000000,
Cambon Dr&Font Blvd NW-NS/SB,CMBNFON1,CMBNFONT,4086.0000000000,37.7160150000,-122.4744410000,0.0000000000,FONT BLVD,CAMBON DR,NS,NW,,0.0000000000,2012/02/23,76.0000000000,
Cambon Dr&Castelo St SE-NS/SB,CMBNCAS0,CMBNCAST,4083.0000000000,37.7174430000,-122.4742700000,0.0000000000,CASTELO AVE,CAMBON DR,NS,SE,,0.0000000000,2012/02/23,76.0000000000,
Buckingham Way&Winston Dr W-FS/BZ,BUCKWIN0,BUCKWINS,3803.0000000000,37.7280300000,-122.4791300000,0.0000000000,WINSTON DR,BUCKINGHAM WAY,FS,W,BZ,0.0000000000,2012/02/23,76.0000000000,
280 Buckingham Way SE-NS/BZ,BUCKH281,BUCKH280,3802.0000000000,37.7271700000,-122.4800500000,0.0000000000,,BUCKINGHAM WAY,NS,SE,BZ,0.0000000000,2012/02/23,76.0000000000,
280 Buckingham Way NW-NS/SB,BUCKH280,BUCKH280,3801.0000000000,37.7269100000,-122.4800400000,0.0000000000,,BUCKINGHAM WAY,NS,NW,,0.0000000000,2012/02/23,76.0000000000,
197 Buckingham Way SW-NS/BZ,BUCKH190,BUCKH197,3800.0000000000,37.7258700000,-122.4787900000,0.0000000000,,BUCKINGHAM WAY,NS,SW,BZ,0.0000000000,2012/02/23,76.0000000000,
95 Buckingham Way SW-NS/SB,BUCK H91,BUCK H95,3798.0000000000,37.7259700000,-122.4771400000,0.0000000000,,BUCKINGHAM WAY,NS,SW,,0.0000000000,2012/02/23,76.0000000000,
95 Buckingham Way NE-NS/BZ,BUCK H90,BUCK H95,3797.0000000000,37.7259800000,-122.4768600000,0.0000000000,,BUCKINGHAM WAY,NS,NE,BZ,0.0000000000,2012/02/23,76.0000000000,
Arballo Dr&Pinto Dr NW-NS/SB,ARBOPNT0,ARBOPNTO,3640.0000000000,37.7207600000,-122.4830780000,0.0000000000,PINTO AVE,ARBALLO DR,NS,NW,,0.0000000000,2012/02/23,76.0000000000,
Arballo Dr&Higuera Ave NW-NS/SB,ARBOHGR0,ARBOHGRA,3639.0000000000,37.7186100000,-122.4832150000,0.0000000000,HIGUERA AVE,ARBALLO DR,NS,NW,,0.0000000000,2012/02/23,76.0000000000,
Arballo Dr&Garces Dr NW-NS/SB,ARBOGRC0,ARBOGRCS,3638.0000000000,37.7163340000,-122.4833510000,0.0000000000,GARCES DR,ARBALLO DR,NS,NW,,0.0000000000,2012/02/23,76.0000000000,
Arballo Dr&Gonzalez Dr SW-FS/SB,ARBOGNL0,ARBOGNLZ,3637.0000000000,37.7173430000,-122.4833060000,0.0000000000,GONZALEZ DR,ARBALLO DR,FS,SW,,0.0000000000,2012/02/23,76.0000000000,
Arballo Dr&Acevedo Ave NW-NS/SB,ARBOACE0,ARBOACEV,3636.0000000000,37.7198860000,-122.4831350000,0.0000000000,ACEVEDO AVE,ARBALLO DR,NS,NW,tt,1.0000000000,2012/02/23,76.0000000000,
20th Ave&Winston Dr SW-FS/SB,20AVWIN0,20AVWINS,3409.0000000000,37.7263400000,-122.4761300000,0.0000000000,WINSTON DR,20TH AVE,FS,SW,,0.0000000000,2012/02/23,76.0000000000,
20th Ave&Winston Dr SE-NS/SB,20AVWIN1,20AVWINS,3408.0000000000,37.7268740000,-122.4759450000,0.0000000000,WINSTON DR,20TH AVE,NS,SE,,0.0000000000,2012/02/23,76.0000000000,
20th Ave&Buckingham Way NW-NS/SB,20AVBUC1,20AVBUCK,3405.0000000000,37.7302700000,-122.4760300000,0.0000000000,BUCKINGHAM WAY,20TH AVE,NS,NW,,0.0000000000,2012/02/23,76.0000000000,
20th Ave&Buckingham Way NE-FS,20AVBUC0,20AVBUCK,3404.0000000000,37.7304200000,-122.4758800000,0.0000000000,BUCKINGHAM WAY,20TH AVE,FS,NE,,1.0000000000,2012/02/23,76.0000000000,
19th Ave&Holloway Ave NW-NS/SB,19AVHOLW,19HL.LVG,3356.0000000000,37.7211100000,-122.4753020000,0.0000000000,HOLLOWAY AVE,19TH AVE,NS,NW,FL,1.0000000000,2012/02/23,76.0000000000,
15th Ave&West Portal Ave S-FS/SB,15AVW.P0,15AVW.P.,3270.0000000000,37.7363870000,-122.4703810000,0.0000000000,WEST PORTAL AVE,15TH AVE,FS,S,,0.0000000000,2012/02/23,76.0000000000,
Herbst Rd & Amory Rd N-MB/BZ,HERBAMRY,,7624.0000000000,37.7306660000,-122.5016970000,0.0000000000,ARMORY RD,HERBST RD,MB,,,0.0000000000,2012/02/23,76.0000000000,
33rd Ave&Clement St SW-FS/BZ,33AVCLM0,33AVCLMT,3556.0000000000,37.7815020000,-122.4935150000,0.0000000000,CLEMENT ST,33RD AVE,FS,SW,BZ,0.0000000000,2012/02/23,76.0000000000,
46th Ave&Taraval St NW-NS/PS,46AVTAR0,46AVTARA,3598.0000000000,37.7418540000,-122.5047060000,0.0000000000,TARAVAL ST,46TH AVE,NS,NW,,1.0000000000,2012/02/23,76.0000000000,
Cabrillo St&47th Ave SW-NS/PS,CBRO47A1,CBRO47AV,3925.0000000000,37.7732870000,-122.5079850000,0.0000000000,47TH AVE,CABRILLO ST,NS,SW,,0.0000000000,2012/02/23,76.0000000000,
Lake Merced&Lake Merced Hill SW-FS,L M HLL1,L M HLLS,4837.0000000000,37.7112030000,-122.4855130000,0.0000000000,LAKE MERCED HILL,LAKE MERCED BLVD,MI,W,,0.0000000000,2012/02/23,76.0000000000,
Sloat Blvd&41st Ave S-FS/BZ,SLOA41A0,SLOA41AV,6447.0000000000,37.7341300000,-122.4989610000,0.0000000000,41ST AVE,SLOAT BLVD,FS,S,BZ,0.0000000000,2012/02/23,76.0000000000,
Sloat Blvd&41st Ave N-FS/BZ,SLOA41A1,SLOA41AV,6446.0000000000,37.7345670000,-122.4992940000,0.0000000000,41ST AVE,SLOAT BLVD,FS,N,BZ,0.0000000000,2012/02/23,76.0000000000,
46th Ave&Wawona St SE-NS/BZ,46AVWAW1,46AVWAWO,3604.0000000000,37.7361080000,-122.5041410000,0.0000000000,WAWONA ST,46TH AVE,NS,SE,BZ,0.0000000000,2012/02/23,76.0000000000,
46th Ave&Ortega St SE-NS/SB,46AVORT1,46AVORTG,3589.0000000000,37.7510170000,-122.5051940000,0.0000000000,ORTEGA ST,46TH AVE,NS,SE,,0.0000000000,2012/02/23,76.0000000000,
Balboa St&37th Ave SW-NS/PS,BBOA37A1,BBOA37AV,3062.0000000000,37.7756470000,-122.4974190000,0.0000000000,37TH AVE,BALBOA ST,NS,SW,,0.0000000000,2012/02/23,76.0000000000,
Winston Dr&Lake Merced Blvd SE-FS,WINSL M0,WINSL M,6955.0000000000,37.7269790000,-122.4833100000,0.0000000000,LAKE MERCED BLVD,WINSTON DR,FS,SE,BZ,0.0000000000,2012/02/23,76.0000000000,
Winston Dr&Lake Merced Blvd NE-NS,WINSL M1,WINSL M,6954.0000000000,37.7271220000,-122.4832990000,0.0000000000,LAKE MERCED BLVD,WINSTON DR,NS,NE,,1.0000000000,2012/02/23,76.0000000000,
Winston Dr&Buckingham Way E-NS/BZ,WINSBUC1,WINSBUCK,6952.0000000000,37.7280600000,-122.4784880000,0.0000000000,BUCKINGHAM WAY,WINSTON DR,NS,E,BZ,0.0000000000,2012/02/23,76.0000000000,
Balboa St&40th Ave SW-NS/PS,BBOA40A1,BBOA40AV,3064.0000000000,37.7755030000,-122.5006170000,0.0000000000,40TH AVE,BALBOA ST,NS,SW,,1.0000000000,2012/02/23,76.0000000000,
Legion of Honor Dr&Clement St NW-NS,LHONCLM0,LHONCLMT,5261.0000000000,37.7816530000,-122.4946150000,0.0000000000,CLEMENT ST,LEGION OF HONOR DR,NS,NW,,0.0000000000,2012/02/23,76.0000000000,
Clement St&Legion Of Honor Dr NE-NS,CLMTLHO1,CLMTLHON,4069.0000000000,37.7816440000,-122.4943970000,0.0000000000,LEGION OF HONOR DR,CLEMENT ST,NS,NE,,0.0000000000,2012/02/23,76.0000000000,
Skyline Blvd&Harding Rd SE-NS/SB,SKYLHAR1,SKYLHARD,6431.0000000000,37.7263920000,-122.5024490000,0.0000000000,HARDING RD,SKYLINE BLVD,NS,SE,,0.0000000000,2012/02/23,76.0000000000,
Great Hwy&Ocean Beach E-MB/SB,GHWYOBC1,GHWYOBCH,4779.0000000000,37.7678790000,-122.5102840000,0.0000000000,GREAT HWY,GREAT HWY,MB,E,,0.0000000000,2012/02/23,76.0000000000,
Cabrillo St&47th Ave NE-NS/PS,CBRO47A0,CBRO47AV,3924.0000000000,37.7734210000,-122.5077670000,0.0000000000,47TH AVE,CABRILLO ST,NS,NE,,0.0000000000,2012/02/23,76.0000000000,
47th Ave&Wawona St SW-FS/PS,47AVWAW0,47AVWAWO,3606.0000000000,37.7360180000,-122.5053660000,0.0000000000,WAWONA ST,47TH AVE,NS,NW,,0.0000000000,2012/02/23,76.0000000000,
33rd Ave&Geary Blvd NW-NS/BZ,33AVGEA0,33AVGEAR,3558.0000000000,37.7798150000,-122.4933880000,0.0000000000,GEARY BLVD,33RD AVE,NS,NW,BZ,1.0000000000,2012/02/23,76.0000000000,
46th Ave&Vicente St NW-NS/PS,46AVVCT0,46AVVCTE,3602.0000000000,37.7381420000,-122.5044400000,0.0000000000,VICENTE ST,46TH AVE,NS,NW,,0.0000000000,2012/02/23,76.0000000000,
46th Ave&Irving St NW-NS/PS,46AVIRV0,46AVIRVG,3574.0000000000,37.7623750000,-122.5061430000,0.0000000000,IRVING ST,46TH AVE,NS,NW,,1.0000000000,2012/02/23,76.0000000000,
Skyline Blvd&Sloat Blvd W-FS/PS,SKYLSLO0,SKYLSLOA,6434.0000000000,37.7335950000,-122.4968420000,0.0000000000,SLOAT BLVD,SKYLINE BLVD,FS,W,,0.0000000000,2012/02/23,76.0000000000,
46th Ave&Santiago St SE-NS/SB,46AVSNT1,46AVSNTG,3597.0000000000,37.7435670000,-122.5046620000,0.0000000000,SANTIAGO ST,46TH AVE,NS,SE,,0.0000000000,2012/02/23,76.0000000000,
Skyline Blvd&Lake Merced Blvd S-NS,SKYLL M1,SKYLL M,6432.0000000000,37.7311490000,-122.4992230000,0.0000000000,LAKE MERCED BLVD,SKYLINE BLVD,NS,S,AB,0.0000000000,2012/02/23,76.0000000000,
46th Ave&Moraga St NW-NS/PS,46AVMOR0,46AVMORA,3584.0000000000,37.7549250000,-122.5056210000,0.0000000000,MORAGA ST,46TH AVE,NS,NW,,0.0000000000,2012/02/23,76.0000000000,
33rd Ave&Geary Blvd SE-NS/SB,33AVGEA3,33AVGEAR,3559.0000000000,37.7795480000,-122.4932150000,0.0000000000,GEARY BLVD,33RD AVE,NS,SE,,1.0000000000,2012/02/23,76.0000000000,
Townsend St&6th St N-NS/SB,TOWN 6S0,TOWN 6ST,6698.0000000000,37.7736750000,-122.3994240000,0.0000000000,6TH ST,TOWNSEND ST,NS,N,,0.0000000000,2012/02/23,76.0000000000,
Pacific Ave&Stockton St NE-NS/BZ,PACFSTO1,PACFSTOK,5855.0000000000,37.7967880000,-122.4083290000,0.0000000000,STOCKTON ST,PACIFIC AVE,NS,NE,,0.0000000000,2012/02/23,76.0000000000,
2nd St & Stevenson St W-FS/BZ,2STSTV0,2STSTVN,3013.0000000000,37.7886200000,-122.4006500000,0.0000000000,STEVENSON ST,2ND ST,FS,W,BZ,0.0000000000,2012/02/23,76.0000000000,
25th St&Wisconsin St SE-FS/PS,25STWISI,25STWISC,3513.0000000000,37.7521620000,-122.3982930000,0.0000000000,WISCONSIN ST,25TH ST,FS,SE,,0.0000000000,2012/02/23,76.0000000000,
Battery St&Broadway SW-FS/BZ,BATTBDW1,BATTBDWY,3025.0000000000,37.7983110000,-122.4010930000,0.0000000000,BROADWAY,BATTERY ST,FS,SW,BZ,1.0000000000,2012/02/23,76.0000000000,
Rhode Island St&Alameda St NW-NS/SB,R ISALA0,R ISALAM,6201.0000000000,37.7687420000,-122.4030380000,0.0000000000,ALAMEDA ST,RHODE ISLAND ST,NS,NW,,0.0000000000,2012/02/23,76.0000000000,
25th St&Wisconsin St NE-NS/PS,25STWIS1,25STWISC,3512.0000000000,37.7522400000,-122.3983100000,0.0000000000,WISCONSIN ST,25TH ST,NS,NE,,0.0000000000,2012/02/23,76.0000000000,
20th St&Arkansas St NE-NS,20STARK0,20STARKS,3412.0000000000,37.7599600000,-122.3980800000,0.0000000000,ARKANSAS ST,20TH ST,NS,NE,,0.0000000000,2012/02/23,76.0000000000,
Valencia St&24th St SW-FS/BZ,VLNC24S0,VLNC24ST,6877.0000000000,37.7518600000,-122.4207400000,0.0000000000,24TH ST,VALENCIA ST,FS,SW,BZ,1.0000000000,2012/02/23,76.0000000000,
Washington St&Fillmore St SW-NS/PS,WASHFIL0,WASHFILL,6916.0000000000,37.7915030000,-122.4344810000,0.0000000000,FILLMORE ST,WASHINGTON ST,NS,SW,,0.0000000000,2012/02/23,76.0000000000,
2nd St&Townsend St W-NS/SB,2STTOW0,2STTOWN,3015.0000000000,37.7806220000,-122.3906850000,0.0000000000,TOWNSEND ST,2ND ST,NS,W,,0.0000000000,2012/02/23,76.0000000000,
Rhode Island St&17th St NW-NS/PS,R IS17S0,R IS17ST,6191.0000000000,37.7648700000,-122.4026730000,0.0000000000,17TH ST,RHODE ISLAND ST,NS,NW,,0.0000000000,2012/02/23,76.0000000000,
Rhode Island St&16th St NW-NS/PS,R IS16S0,R IS16ST,6190.0000000000,37.7661640000,-122.4027990000,0.0000000000,16TH ST,RHODE ISLAND ST,NS,NW,,0.0000000000,2012/02/23,76.0000000000,
Rhode Island St&16th St NE-FS/SB,R IS16S1,R IS16ST,6189.0000000000,37.7663240000,-122.4026270000,0.0000000000,16TH ST,RHODE ISLAND ST,FS,NE,,0.0000000000,2012/02/23,76.0000000000,
